BASE_ENTREGA,CIDADE,BAIRRO,TIPO_VEICULO,VALOR
CD NVI 001,NOVA IGUAÇU,BAIRRO INEXISTENTE,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,KM 32,CARRO,"3,70"
CD NVI 001,QUEIMADOS,BAIRRO INEXISTENTE,CARRO,"2,80"
CD NVI 001,MESQUITA,BAIRRO INEXISTENTE,CARRO,"2,80"
CD NVI 001,JAPERI,BAIRRO INEXISTENTE,CARRO,"3,00"
CD NVI 001,NOVA IGUAÇU,CABUCU,CARRO,"3,20"
CD NVI 001,NOVA IGUAÇU,AERO CLUBE,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,ALVAREZ,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,BELMONTE,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,BELTERRA,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,CALIFORNIA,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,CAONZE,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,CENTRO,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,CHACRINHA,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,CHAVASCAL,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,COMENDADOR SOARES,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,COMENDADOR SORES,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,CONJUNTO RESIDENCIAL REDENCAO,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,DA LUZ,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,DANON,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,DOM RODRIGO,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,ESSOLANDIA,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,FLORES,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,FRATERNIDADE,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,IMPERADOR,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,IMPERIAL,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,INDEPENDENCIA,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,IOLANDA,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,JARDIM ALVORADA,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,JARDIM BELO HORIZONTE,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,JARDIM CANAA,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,JARDIM IDEAL,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,JARDIM IGUACU,CARRO,"2,80"
CD NVI 001,NOVA IGUAÇU,JARDIM IMPERIO,CARRO,"2,80"
